problem,quantity,direction,step,year,value,agent,attribution,ref,date_certain,relative_gain_pct,is_record,note
6.3,C_6.3,up,0,2010,0.88922,human_analytic,"piecewise constant counterexample, prior literature",arXiv:2511.02864 bibliography ref 210,yes,,yes,paper: 'It is known that 0.88922 <= C_6.3 <= 1'; upper bound 1 is immediate from Holder. Dated to the Matolcsi-Vinuesa reference cited alongside it.
6.3,C_6.3,up,1,2025,0.8962,ai_evolution,"AlphaEvolve, quick experiment",arXiv:2511.02864 bibliography ref 224,yes,0.784958,yes,paper: 'AlphaEvolve improved the lower bound to C_6.3 >= 0.8962 in a quick experiment'
6.3,C_6.3,up,2,2025,0.901564,human_search,"Boyer and Li, gradient-based methods",arXiv:2511.02864 bibliography ref 42,yes,0.598527,yes,paper: 'A recent work of Boyer and Li [42] independently used gradient-based methods to obtain the further improvement C_6.3 >= 0.901564'
6.3,C_6.3,up,3,2025,0.961,ai_evolution,"AlphaEvolve, 50,000-part step function after seeing Boyer-Li",arXiv:2511.02864 bibliography ref 224,yes,6.592544,yes,"paper: 'it eventually improved the lower bound to C_6.3 >= 0.961 using a step function consisting of 50,000 parts'. Authors add they expect more parts to do better, so the step is compute-bounded rather than idea-bounded."
6.44,C_6.44,up,0,2007,1.07921778,human_analytic,"Gyarmati, Hennecart and Ruzsa, U={0,1,3}",arXiv:2511.02864 bibliography ref 158,yes,,yes,"paper: 'setting U = {0,1,3} gives C_6.44 >= 1 + log(67)/log(7) ~ 1.07921778'"
6.44,C_6.44,up,1,2007,1.1078,human_search,"same paper, brute force computer search",arXiv:2511.02864 bibliography ref 158,yes,2.64842,yes,"paper: 'With a brute force computer search, in [158] the set U = {0,1,3,6,13,17,21} was found, which gave ... ~ 1.1078'"
6.44,C_6.44,up,2,2007,1.1165,human_search,"same paper, more intricate construction",arXiv:2511.02864 bibliography ref 158,yes,0.78534,yes,paper: 'A more intricate construction gave a set U with |U| = 24310 ... improving the lower bound to 1.1165'
6.44,C_6.44,up,3,2007,1.14465,human_search,"same paper, further ad hoc constructions",arXiv:2511.02864 bibliography ref 158,yes,2.521272,yes,paper: 'the final bound they obtained was found by some further ad hoc constructions'; the stated prior-to-this-work bound is 1.14465
6.44,C_6.44,up,4,2025,1.1479,ai_evolution,"AlphaEvolve, set U1 of 2003 integers",arXiv:2511.02864 bibliography ref 224,yes,0.28393,yes,paper: 'It first found a set U1 of 2003 integers that improves the lower bound to 1.1479 <= C_6.44'
6.44,C_6.44,up,5,2025,1.1584,ai_evolution,"AlphaEvolve, set U2 of 54265 integers, longer run",arXiv:2511.02864 bibliography ref 224,yes,0.914714,yes,"paper: 'By letting the experiment run longer, it later found a related set U2 of 54265 integers that further improves the lower bound to 1.1584'"
6.44,C_6.44,up,6,2025,1.17305,human_analytic,Gerbicz,arXiv:2511.02864 bibliography ref 138,yes,1.264675,yes,"paper: 'After the release of the AlphaEvolve technical report [224], the bounds were subsequently improved to C_6.44 >= 1.173050 [138]'. The cited work is titled 'Sums and differences of sets (improvement over AlphaEvolve)'."
6.44,C_6.44,up,7,2025,1.173077,human_analytic,further improvement,arXiv:2511.02864 bibliography ref 306,yes,0.002302,yes,"paper: 'and C_6.44 >= 1.173077 [306], by using mathematical methods closer to the original constructions of [158]'. Reference [306] did not parse from the bibliography, so its authorship and year are unconfirmed here."
