problem,quantity,direction,step,year,value,agent,attribution,ref,date_certain,relative_gain_pct,is_record,note
6.3,C_6.3,up,0,2010,0.88922,human_analytic,"piecewise constant counterexample, prior literature",arXiv:2511.02864 bibliography ref 210,yes,,yes,paper: 'It is known that 0.88922 <= C_6.3 <= 1'; upper bound 1 is immediate from Holder. Dated to the Matolcsi-Vinuesa reference cited alongside it.
6.3,C_6.3,up,1,2025,0.8962,ai_evolution,"AlphaEvolve, quick experiment",arXiv:2511.02864 bibliography ref 224,yes,0.784958,yes,paper: 'AlphaEvolve improved the lower bound to C_6.3 >= 0.8962 in a quick experiment'
6.3,C_6.3,up,2,2025,0.901564,human_search,"Boyer and Li, gradient-based methods",arXiv:2511.02864 bibliography ref 42,yes,0.598527,yes,paper: 'A recent work of Boyer and Li [42] independently used gradient-based methods to obtain the further improvement C_6.3 >= 0.901564'
6.3,C_6.3,up,3,2025,0.961,ai_evolution,"AlphaEvolve, 50,000-part step function after seeing Boyer-Li",arXiv:2511.02864 bibliography ref 224,yes,6.592544,yes,"paper: 'it eventually improved the lower bound to C_6.3 >= 0.961 using a step function consisting of 50,000 parts'. Authors add they expect more parts to do better, so the step is compute-bounded rather than idea-bounded."
6.4,C_6.4,down,0,2010,1.4993,human_analytic,Matolcsi and Vinuesa,arXiv:2511.02864 bibliography ref 210,yes,,yes,paper: 'C_6.4 <= 1.4993 [210]'
6.4,C_6.4,down,1,2025,1.4688,ai_evolution,"AlphaEvolve, quick experiment",arXiv:2511.02864 bibliography ref 224,yes,2.076525,yes,paper: 'in a quick experiment AlphaEvolve improved these to C_6.4 <= 1.4688'
6.4,C_6.4_prime,down,0,2025,1.4581,human_analytic,"Vinuesa, generalized Sidon sets",arXiv:2511.02864 bibliography ref 290,no,,yes,"paper: ""C'_6.4 <= 1.45810 [290]"". Reference [290] carries no year in the bibliography, so 2025 is a placeholder and the interval is not usable."
6.4,C_6.4_prime,down,1,2025,1.4557,ai_evolution,AlphaEvolve,arXiv:2511.02864 bibliography ref 224,yes,0.164869,yes,"paper: ""C'_6.4 <= 1.4557"""
6.30,"C_6.30_{0,1,2,inf}",up,0,2015,1.61226,human_analytic,"Lemm, new counterexamples for sums-differences",arXiv:2511.02864 bibliography ref 194,yes,,yes,paper: 'the lower bounds in [194]'
6.30,"C_6.30_{0,1,2,inf}",up,1,2025,1.668,ai_evolution,AlphaEvolve,arXiv:2511.02864 bibliography ref 224,yes,3.457259,yes,"paper: 'got the more interesting improvement of 1.668 <= C_6.30({0,1,2,inf};-1)'"
