list_id,list_name,list_year,problem_id,short_name,status,resolved_year,resolver,notes,source
green,Ben Green's 100 open problems,2018,1,Sum-free subsets of size n/3 + ω(n),resolved,2025,Bedert,Any n-element integer set has a sum-free subset of size n/3 + c log log n,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,2,Restricted sumset S+̂S avoiding A (Erdős–Moser),open,,,Beker 2025 sharpened the Sanders exponent,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,3,Product-free open subsets of [0;1] of measure above 1/3,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,4,Largest product-free set in the alternating group,resolved,2022,Keevash–Lifshitz–Minzer,Solved with a stability result characterising extremal sets,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,5,Groups with the smallest largest product-free sets,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,6,Largest sum-free subset of the grid [N]^d,open,,,Lepsveridze–Sun 2023 determined the d=3 and d=4 constants,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,7,Structure and density of Ulam's sequence,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,8,Sets with few solutions to x+y=z,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,9a,Is r3(N) below N/(log N)^10,resolved,2023,Kelley–Meka,Green marks part (i) solved; his 2024 update records the 2023 Kelley–Meka bound,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,9b,Same question for r5(N) and for r4 over F5^n,open,,,Parts (ii) and (iii); Leng–Sah–Sawhney 2024 improved the general rk(N) bounds,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,10,Roth's theorem with random common differences,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,11,Progressions with square-minus-one or prime-minus-one differences,partial,,,Marked mostly solved: Peluse–Sah–Sawhney 2023 and Leng 2025 settle part (i) up to what Green concedes is reasonable; Tao–Teräväinen 2021 advanced part (ii),Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,12,Sidorenko count for the Möbius ladder in abelian groups,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,13,4-term progressions in Fourier-uniform sets,open,,,Deng–Tidor–Zhao 2023 improved the exponent and conjectured a negative answer,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,14,Is W(3;r) polynomial in r,resolved,2021,Green,Resolved in the negative by a superpolynomial lower bound,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,15,Lipschitz graph in Z^2 free of 3-term progressions,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,16,Largest set with no solution to x+3y=2z+2w in distinct integers,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,17,3-term progressions with {0;1}^n common difference in F3^n,open,,,Bhangale–Khot–Minzer 2023 and with Liu 2025 made progress,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,18,Corners over arbitrary finite groups (BMZ corners),open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,19,Corner-count exponent over F2^n,resolved,2019,Fox–Sah–Sawhney–Stoner–Zhao,Showed the exponent C equals 4,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,20,Bounds for the multidimensional Szemerédi theorem,open,,,Jaber–Liu–Lovett–Ostuni–Sawhney 2025 gave quasipolynomial-type corner bounds,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,21,Density bounds for non-Rado equations,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,22,Bounds for monochromatic {x+y; xy},open,,,Green–Sawhney 2025 proved a double-exponential bound Green says arguably addresses the original formulation; headline still unmarked,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,23,Monochromatic x and y with x^2+y^2 a square,resolved,2023,Frantzikinakis–Klurman–Moreira,Partition regularity of Pythagorean pairs; the full x^2+y^2=z^2 question stays open,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,24,Affine copies of {0;1;3} in an n-element set,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,25,Restricted sumsets over partitions of [N],open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,26,Do 100 cubes in F3^n sum to everything,resolved,2025,Yu,Solved with 100 replaced by 4; the Fp^n analogue remains open,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,27,Smallest set in Z/pZ with no unique sum in A+A,open,,,Bedert 2023 narrowed the answer to between roughly log p and log^2 p,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,28,Does uniform X+Y force uniform X and Y,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,29,Large subset of an approximate group with S^8 inside A^4,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,30,Structured subsets certifying small doubling,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,31,Improve the Sidon-set bounds F(N),open,,,Balogh–Füredi–Roy 2021 obtained a small improvement,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,32,Gapped dilates of sets in Z/pZ,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,33,Near-perfect difference sets modulo non-prime-power q,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,34,Dense sets with bounded representation function,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,35,Autoconvolution constants c_p,open,,,An AI-based approach (AlphaEvolve) improved the upper bound to 0.75026 in 2025 — the only AI event Green's document records,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,36,Disjoint sumsets behind fast matrix multiplication,open,,,Pilatte 2023 resolved the related question Green cites,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,37,Smallest set containing progressions of every difference,open,,,,Ben Green's 100 open problems (December 2025 revision)
green,Ben Green's 100 open problems,2018,38,Largest A in F7^n with A−A avoiding {−1;0;1}^n,open,,,,Ben Green's 100 open problems (December 2025 revision)
