problem,rule_year,solution_year,reference,note
8,,2015,Ho15,answer is no due to Hough's result
24,2013,2012,Gr12,independent proofs; earliest (Grzesik 2012) resolved first
29,,2024,JPSZ24,explicit construction by JPSZ24 resolves it
34,2015,1986,He86,first counterexample was Hegyvari 1986
35,1936,1970,Pl70,Er36c only weaker 2k version; follows from Plunnecke
45,,2003,Cr03,follows from Croot's colouring result
57,,2020,LiMo20,solved by Liu and Montgomery
59,1986,2016,MoSa16,EFR86 is partial (non-bipartite); C6 disproof is MoSa16
63,,2020,LiMo20,follows from Liu-Montgomery per Hunter
69,,2025,TaTe25,unconditional proof by Tao-Teravainen
79,,2024,Wi24,Wigderson proved infinitely many exist
94,,1995,LeTh95,LeTh95 proved stronger version; Fishburn claim undated
95,1963,2015,GuKa15,Al63 only convex case; GuKa15 solved fully
105,1983,,,Disproved by Xichuan in comments; undated
110,1995,2020,La20,La20 ZFC counterexample completed disproof
118,2010,1999,Sc99 Da99,Independent 1999 proofs; 2010 only publication
119,1991,,,GPT 5.6/Korsky resolved third question; undated
125,2001,2026,2026-03-30,DeepMind completed disproof; Me01 was partial
136,,2022,BCDP22,BCDP22 determined asymptotics
154,,1998,Li98,Follows immediately from Li98
157,,2023,Pi23,Pilatte Pi23 resolves; regex missed
175,1996,1995,Ve95,Ve95 independently completed all n first
186,,2024,PhZa24,PhZa24 completed matching bounds
189,1980,2023,Ko23,Ko23 disproof; Gr80 is triangle variant
190,,2025,Hu25b,Hunter recurrence first gives resolution
192,,1992,Ke92,Keranen d=4 construction completed it
202,1968,,,AI (GPT-5.4 Pro) resolution; no wiki date
204,,2025,Ad25,Adenwalla proved no such n
205,1980,2026,ai-wiki 2026-01-10,AI-assisted disproof; Er80 was conjecture
206,1950,2024,Ko24b,Kovac disproof; earlier cites are special cases
216,,1983,Ho83,Horton disproved existence for n>=7
230,,1980,Ka80,Kahane ultraflat polynomials disproved it
231,,1992,Ke92,Ke92 string gives negative answer k>=4
239,1968,1967,Wi67,Wirsing proved it; Halasz only generalised
240,,1973,Ti73,Tijdeman resolved the question
248,2026,2025,TaTe25,TaTe25 resolved; La26 is improvement
255,1972,1968,Sc68,Sc68 resolved it; Sc72 is a later strengthening
258,1971,2026,2026-04-14,ErSt71 only monotone case; AI solution via TaTe25
262,1976,1991,Ha91,Er75c is an example; Hancl essentially solved it
296,,2021,Bl21,Resolution follows from Bloom's theorem; undated observation
299,,2021,Bl21,Follows from Bloom's solution of 298
300,,2024,LiSa24,Liu-Sawhney determined asymptotic; completing resolution
305,,1988,Yo88,Solved by Yokota; LiSa24 only improved bound
310,,2024,LiSa24,LiSa24 observed Bloom implies positive solution
316,,1997,Sa97,Sandor's counterexample disproved it
343,1966,2006,SzVu06,Fo66 is partial; SzVu06 answered the original question
350,1977,1974,BeEr74,Ryavec's resolving proof reproduced in BeEr74; HSS77 is stronger statement
351,1963,,,Gr63 is special case; completion via [283] comment; undated
353,2023,2025,Ko25,Ko23 partial; Koizumi Ko25 resolved the question
356,2015,2023,Be23b,Ko15 is side question; Beker solved original problem
360,,2021,CFP21,CFP21 determined order of growth; completing resolution
379,,2025,2025-12-21,solved in comments; AI wiki date used
387,1958,2026,BNPZ26,Sc58 disproved earlier conjecture; BNPZ26 answered this question
395,2011,2024,HJNS24,CaCa11 only corrected constant; HJNS24 solved problem
399,1937,,,Barfield's disproving solution uncited; ErOb37 only partial
402,1987,1996,BaSo96,1986/87 only large sets; BaSo96 proved all sets
405,,1991,BrEr91,BrEr91 proved finiteness; the stated resolution
418,,1995,BrSc95,BrSc95 gave affirmative answer to the question
427,,2000,Sh00,positive solution follows from Shiu Sh00
437,,2024,BPZ24,positive answer follows from BPZ24
438,,2002,KLS02,KLS02 proved 11/32 sharp; completing resolution
441,,2007,ChDa07,ChDa07 disproved: construction not optimal infinitely often
