problem,status,solution_year,basis,reference
2,disproved,2015,solving_citation,Ho15
4,proved,2016,solving_citation,Ma16 FGKT16
6,proved,2015,solving_citation,BFT15 Ma15
8,disproved,2015,review,Ho15
13,proved,2023,solving_citation,Be23
16,disproved,2023,solving_citation,Ch23
21,proved,1994,solving_citation,Ka94
22,proved,2015,solving_citation,FLZ15
24,proved,2012,review,Gr12
26,disproved,1951,solving_citation,DaEr51
27,disproved,2007,solving_citation,FFKPY07
29,proved,2024,review,JPSZ24
31,proved,1954,solving_citation,Lo54
34,disproved,1986,review,He86
35,proved,1970,review,Pl70
37,disproved,1987,solving_citation,Ru87
38,proved,2026,ai_wiki,2026-04-25
42,solved,2026,ai_wiki,2026-04-27
43,disproved,,none,
45,proved,2003,review,Cr03
46,proved,2003,solving_citation,Cr03
47,proved,2021,solving_citation,Bl21
48,proved,2010,solving_citation,FLP10
49,proved,2024,solving_citation,Ta24d
53,proved,2003,solving_citation,Ch03
54,solved,2021,solving_citation,CFP21
55,solved,2021,solving_citation,CFP21
56,disproved,1994,solving_citation,AhKh94
57,proved,2020,review,LiMo20
58,proved,1992,solving_citation,Gy92
59,disproved,2016,review,MoSa16
63,proved,2020,review,LiMo20
67,proved,2016,solving_citation,Ta16
69,proved,2025,review,TaTe25
71,proved,1977,solving_citation,Bo77
72,proved,2005,solving_citation,Ve05
73,proved,1999,solving_citation,Re99
76,proved,2020,solving_citation,GrLe20
79,proved,2024,review,Wi24
83,proved,1997,solving_citation,AhKh97
88,proved,2022,solving_citation,KSSS22
90,disproved,2026,ai_wiki,2026-05-20
92,disproved,,none,
93,proved,1963,solving_citation,Al63
94,proved,1995,review,LeTh95
95,proved,2015,review,GuKa15
105,disproved,,none,
109,proved,2019,solving_citation,MRR19
110,disproved,2020,review,La20
113,disproved,2023,solving_citation,Ja23b
115,proved,1994,solving_citation,ErLe94
116,proved,2025,solving_citation,KLR25
118,disproved,1999,review,Sc99 Da99
119,solved,,none,
121,disproved,2024,solving_citation,Ta24
123,proved,,none,
125,disproved,2026,review,2026-03-30
127,proved,1996,solving_citation,Al96
133,disproved,,none,
134,proved,,none,
135,disproved,2024,solving_citation,Ta24c
136,solved,2022,review,BCDP22
139,proved,1975,solving_citation,Sz75
140,proved,2023,solving_citation,KeMe23
144,proved,1984,solving_citation,MaTe84
147,disproved,2023,solving_citation,Ja23
150,proved,2008,solving_citation,FKTV08
152,proved,2026,ai_wiki,2026-04-03
154,proved,1998,review,Li98
157,proved,2023,review,Pi23
163,proved,2017,solving_citation,Le17
164,proved,2023,solving_citation,Li23
166,proved,2023,solving_citation,MaVe23
171,proved,1991,solving_citation,FuKa91
175,proved,1995,review,Ve95
178,proved,1981,solving_citation,Be81
179,proved,2020,solving_citation,FoPo20
182,proved,2023,solving_citation,JaSu23
185,proved,1991,solving_citation,FuKa91
186,solved,2024,review,PhZa24
189,disproved,2023,review,Ko23
190,solved,2025,review,Hu25b
191,proved,2003,solving_citation,Ro03
192,solved,1992,review,Ke92
194,disproved,2011,solving_citation,ABJ11
198,disproved,1975,solving_citation,Ba75 Ba75
199,disproved,1975,solving_citation,Ba75
202,solved,,none,
204,disproved,2025,review,Ad25
